Transaction_ID,IP_Address,Transaction_Amount,Hours_Since_Login,Transaction_Status,Is_Fraud
TXN_10000,10.96.253.212,45.25,5.61,Completed,0
TXN_10001,172.27.192.221,222.46,25.89,Completed,0
TXN_10002,172.31.216.227,1325.92,1.68,Completed,0
TXN_10003,172.25.213.104,247.81,4.59,Completed,0
TXN_10004,10.99.29.196,1577.03,7.4,Blocked,1
TXN_10005,172.18.102.57,107.67,4.8,Completed,0
TXN_10006,45.183.171.223,147.3,3.7,Completed,0
TXN_10007,172.23.8.83,2160.26,4.22,Completed,0
TXN_10008,10.0.220.89,324.92,1.97,Completed,0
TXN_10009,10.150.27.222,53.41,4.34,Completed,0
TXN_10010,45.174.247.71,370.92,10.14,Completed,0
TXN_10011,192.168.0.229,40.24,12.86,Chargeback,1
TXN_10012,172.23.13.188,210.05,1.53,Completed,0
TXN_10013,172.22.134.246,847.47,1.06,Completed,0
TXN_10014,45.184.45.162,99.22,8.59,Completed,0
TXN_10015,172.22.123.78,23.37,8.23,Completed,0
TXN_10016,10.53.143.174,64.21,16.02,Completed,0
TXN_10017,172.21.91.199,1269.4,2.22,Completed,0
TXN_10018,45.72.96.235,1039.87,5.5,Completed,0
TXN_10019,172.26.148.232,17.38,2.52,Completed,0
TXN_10020,172.25.235.144,38.69,6.95,Completed,0
TXN_10021,172.25.59.47,166.98,5.05,Completed,0
TXN_10022,172.24.86.115,13.94,11.51,Completed,0
TXN_10023,10.225.152.218,338.89,5.3,Completed,0
TXN_10024,10.15.196.200,1238.17,0.01,Completed,0
TXN_10025,45.207.67.216,195.6,8.44,Completed,0
TXN_10026,172.19.0.163,150.17,0.92,Completed,0
TXN_10027,45.50.228.50,55.88,12.81,Completed,0
TXN_10028,172.21.99.104,382.75,2.24,Completed,0
TXN_10029,192.168.0.105,196.28,5.15,Chargeback,1
TXN_10030,172.31.30.7,491.47,8.55,Completed,0
TXN_10031,10.55.217.135,495.7,5.24,Completed,0
TXN_10032,10.105.123.137,105.92,29.51,Completed,0
TXN_10033,10.66.53.32,4.36,11.43,Completed,0
TXN_10034,10.147.198.34,333.42,0.84,Completed,0
TXN_10035,172.16.23.56,54.1,1.34,Completed,0
TXN_10036,10.27.212.169,257.85,0.93,Completed,0
TXN_10037,172.20.34.65,3754.17,9.11,Completed,0
TXN_10038,172.27.151.241,224.21,6.82,Completed,0
TXN_10039,10.224.49.136,125.02,0.18,Completed,0
TXN_10040,172.25.14.41,85.81,29.67,Completed,0
TXN_10041,172.31.205.229,1346.55,4.07,Completed,0
TXN_10042,45.255.87.63,28.17,8.1,Completed,0
