Concurrent_Requests,Latency_ms
101,31.9
951,3091.78
441,78.45
1299,8147.0
70,27.11
44,15.57
717,1068.43
21,21.56
23,33.1
235,41.41
28,27.17
144,30.93
331,46.0
168,44.57
13,32.34
64,35.11
177,35.8
19,32.55
105,41.5
862,2187.06
99,38.99
93,34.47
156,36.68
524,215.02
211,44.52
94,34.62
124,38.49
1100,4948.56
61,33.08
83,35.47
351,61.59
145,39.41
185,38.19
337,51.84
26,22.12
79,32.22
221,47.37
21,28.01
28,19.54
26,23.12
116,39.59
725,1114.19
535,242.38
415,64.18
190,45.0
605,476.78
98,41.19
25,30.48
48,38.62
204,37.92
108,34.43
107,41.22
10,27.96
259,50.87
380,62.16
156,37.48
53,25.32
70,29.03
428,74.32
132,34.25
146,37.84
420,62.36
606,485.94
415,61.68
151,35.79
163,40.17
241,49.61
187,31.28
593,443.0
520,199.01
23,28.86
115,32.93
163,37.48
324,53.44
299,54.2
217,43.66
130,39.35
12,28.23
11,22.38
454,79.46
59,38.26
154,37.68
523,209.86
173,35.99
234,49.7
10,29.49
169,38.44
187,35.55
115,35.97
289,42.36
78,31.15
49,33.5
140,29.08
301,44.98
133,44.77
240,41.48
457,93.54
343,46.53
704,980.82
442,82.22
131,39.27
1288,7948.53
712,1029.08
239,44.02
262,51.11
195,43.27
121,41.84
24,24.37
104,31.95
19,32.3
110,40.69
54,25.72
504,168.19
668,768.57
715,1055.89
993,3574.25
186,38.41
189,32.58
1282,7843.07
111,36.5
214,56.11
81,32.84
150,35.38
260,43.11
112,27.43
1015,3849.98
1174,6045.06
48,33.09
93,37.64
183,37.11
12,19.01
50,32.89
73,33.64
516,192.2
10,29.05
369,51.65
199,40.46
237,40.31
150,36.06
535,249.62
592,411.07
78,30.12
321,39.76
84,28.39
462,97.96
66,33.68
411,58.21
1016,3858.7
10,23.6
45,23.41
1382,9709.28
85,29.24
134,28.24
234,52.97
188,45.64
20,31.73
380,43.07
44,24.36
888,2435.12
13,21.7
40,30.25
474,114.21
187,35.56
873,2292.13
476,121.37
92,27.05
709,1009.77
139,37.66
80,41.03
63,32.61
807,1711.55
24,31.23
203,33.08
10,20.2
219,1117.2
115,728.85
42,26.28
75,29.34
88,31.17
10,21.13
204,49.5
68,36.06
836,1954.17
255,44.02
698,957.49
86,35.56
53,30.59
458,98.66
99,36.8
208,53.59
239,37.26
61,27.25
54,39.08
16,24.97
36,28.47
457,89.18
563,325.39
199,38.18
257,48.49
60,32.02
174,33.0
129,32.97
126,41.24
927,2835.65
310,51.94
154,36.93
135,37.89
149,42.17
1037,4123.95
367,63.42
35,31.76
32,26.24
34,30.46
224,49.09
164,42.32
804,1686.35
875,2313.09
328,50.12
543,271.62
736,1189.06
219,40.21
637,616.03
43,31.06
109,33.32
848,2063.24
131,41.4
57,36.62
288,47.93
36,34.65
299,44.72
35,28.26
613,515.26
287,49.27
191,46.68
409,62.72
144,35.02
680,843.83
63,26.14
1312,8381.32
72,31.71
10,23.72
589,414.97
441,73.89
114,23.04
305,50.03
10,29.7
754,1319.75
79,35.05
240,42.55
344,58.59
52,31.1
84,34.32
397,49.55
147,36.69
110,34.88
522,210.31
387,53.42
215,37.17
12,26.89
318,59.67
223,47.02
347,47.37
467,102.65
240,37.12
562,317.35
36,26.75
286,55.67
313,50.45
75,34.9
78,31.51
426,66.86
41,29.16
49,18.3
25,23.82
405,60.42
69,22.53
179,35.86
38,31.26
887,2431.03
192,45.76
216,46.23
39,32.32
308,53.59
407,66.58
278,48.92
106,31.32
873,2296.07
31,28.98
127,35.35
407,59.05
163,47.09
98,26.85
118,41.45
233,41.78
396,51.13
201,33.17
446,76.22
58,31.03
99,32.1
618,542.01
229,36.5
127,36.22
558,313.23
15,29.42
625,571.76
217,46.28
371,52.25
100,31.13
10,21.9
10,18.3
115,26.25
712,1032.02
920,2763.67
73,30.83
65,29.81
425,57.9
515,191.62
11,17.73
330,47.8
411,56.41
305,49.81
638,628.9
51,24.81
171,45.82
794,1611.34
78,34.54
559,312.58
438,76.66
121,38.19
831,1916.57
142,37.58
322,39.95
242,37.31
680,846.1
104,37.51
171,42.92
131,31.52
50,27.43
507,180.57
160,41.29
190,46.56
329,39.35
49,26.12
33,32.59
666,766.75
53,38.95
32,21.02
13,23.35
133,29.04
341,51.61
986,3491.85
511,176.17
767,1411.46
125,36.49
926,2823.32
490,139.32
96,40.42
502,158.96
163,43.48
174,37.45
167,36.14
100,28.95
454,87.29
299,51.82
77,40.89
793,1605.22
375,61.48
222,47.57
115,32.61
64,25.47
211,44.9
678,824.4
168,44.1
188,42.2
13,32.7
320,44.28
81,33.63
211,42.92
336,52.07
463,94.94
97,39.16
199,46.25
472,106.04
177,42.04
82,31.74
364,56.1
431,71.1
272,47.97
10,24.86
156,31.85
114,34.05
581,391.14
10,24.64
136,41.17
241,49.52
54,36.2
532,243.08
173,28.54
523,208.09
675,811.46
170,43.45
167,36.29
213,45.72
232,39.43
307,53.32
291,45.79
538,251.52
25,30.57
14,22.88
35,35.06
121,42.82
126,36.48
134,33.89
10,31.48
141,33.47
306,47.46
140,36.07
648,675.41
129,47.34
170,40.8
381,56.74
585,396.43
707,999.0
48,25.43
12,28.46
293,46.02
956,3147.06
423,65.92
268,42.32
106,32.0
314,48.48
117,30.64
169,40.19
48,28.43
696,945.84
191,33.97
290,42.29
548,287.04
462,94.51
84,34.36
330,45.9
101,31.48
110,34.81
384,48.57
122,36.56
431,73.27
10,14.58
87,31.02
322,45.38
89,30.15
116,34.06
450,90.9
10,29.84
361,46.84
186,42.05
193,45.91
194,37.86
348,51.83
397,57.31
263,45.27
118,40.12
166,40.38
96,31.07
16,23.04
16,20.41
274,54.86
150,27.87
208,43.49
43,20.12
82,36.19
355,42.36
30,24.73
10,19.93
553,292.74
105,32.07
144,44.09
222,43.52
47,29.11
24,26.16
89,35.5
472,118.23
28,25.62
460,97.68
105,37.3
37,31.68
885,2411.06
171,42.73
240,36.8
167,48.81
15,32.71
852,2099.45
516,198.0
87,26.99
150,33.12
40,23.67
143,41.01
297,49.3
51,28.89
126,40.03
1222,6823.73
268,54.27
499,158.0
491,139.43
711,1021.98
38,23.65
529,225.5
104,33.33
401,58.0
211,36.88
907,2631.6
86,35.66
20,28.87
105,30.38
331,50.72
12,20.53
783,1524.31
337,55.86
193,37.9
140,33.35
10,24.83
21,33.05
157,37.42
141,29.84
311,48.42
300,54.43
157,39.3
1301,8182.36
310,51.3
953,3112.88
295,44.14
279,49.45
393,48.81
797,1626.15
86,28.15
503,164.54
737,1200.17
118,31.11
272,42.99
61,36.46
233,43.29
52,30.97
174,41.45
188,32.79
359,50.39
204,46.8
583,393.37
62,20.77
36,36.2
264,51.53
143,34.44
258,40.21
440,73.53
441,70.3
770,1429.15
398,55.23
650,684.46
1500,12160.66
67,27.4
280,48.08
696,937.07
68,27.03
350,51.24
17,33.7
192,35.74
560,320.95
498,160.93
393,70.83
175,37.93
40,32.65
71,29.61
89,38.07
1052,4313.1
1206,6554.58
371,63.53
615,518.76
180,31.69
952,3111.55
320,53.39
120,33.0
362,51.81
185,36.31
146,36.09
663,754.56
40,32.54
601,464.74
143,1107.06
96,29.61
507,172.66
292,55.03
23,21.41
85,30.91
10,35.08
247,39.1
163,45.72
150,47.76
36,24.95
136,31.17
63,26.85
974,3350.52
111,26.96
55,28.63
20,26.72
287,51.03
299,54.35
216,29.13
507,178.33
54,31.03
448,79.13
86,31.29
206,32.91
189,39.89
295,43.87
547,286.35
42,30.89
31,33.64
952,3108.49
53,20.15
834,1957.7
505,170.34
1411,10278.34
327,41.93
1093,4860.28
66,33.6
222,50.14
262,44.57
946,3047.1
138,33.15
325,49.1
60,24.63
663,749.91
743,1228.91
328,54.09
600,457.93
300,50.78
1181,6167.63
66,39.19
317,45.39
154,37.19
54,24.48
470,100.89
694,935.22
251,46.39
372,56.1
117,40.74
223,39.06
295,54.58
723,1105.95
12,25.61
124,34.08
154,38.6
353,45.73
355,47.27
251,46.17
47,24.92
569,346.69
475,107.0
164,35.71
39,27.71
578,382.26
71,29.97
181,26.75
395,51.85
276,44.85
667,768.19
53,30.78
321,67.92
10,25.48
37,28.35
479,116.54
342,57.5
371,48.96
149,45.13
337,50.34
172,34.42
10,27.31
116,33.03
506,167.87
1169,5979.95
295,47.13
80,32.14
258,46.04
448,81.96
288,55.32
529,219.92
1162,5864.26
491,146.84
20,23.62
78,34.45
271,46.95
113,22.76
616,522.13
242,39.23
